Rank,School,Tuition,Location
1,University of Pennsylvania (Wharton),72300.00 ,"Philadelphia, PA"
2,Stanford University,70590.00 ,"Stanford, CA"
3,Harvard University,73440.00 ,"Boston, MA"
3,Massachusetts Institute of Technology (Sloan),74200.00 ,"Cambridge, MA"
3,University of Chicago (Booth),72000.00 ,"Chicago, IL"
6,Columbia University,74400.00 ,"New York, NY"
6,Northwestern University (Kellogg),71544.00 ,"Evanston, IL"
6,University of California--Berkeley (Haas),61442.00 ,"Berkeley, CA"
9,Yale University,69500.00 ,"New Haven, CT"
10,Duke University (Fuqua),68200.00 ,"Durham, NC"
10,University of Michigan--Ann Arbor (Ross),68646.00 ,"Ann Arbor, MI"
12,Dartmouth College (Tuck),72150.00 ,"Hanover, NH"
12,New York University (Stern),71676.00 ,"New York, NY"
12,University of Virginia (Darden),64782.00 ,"Charlottesville, VA"
15,Cornell University (Johnson),66290.00 ,"Ithaca, NY"
16,University of California--Los Angeles (Anderson),59866.00 ,"Los Angeles, CA"
17,Carnegie Mellon University (Tepper),65000.00 ,"Pittsburgh, PA"
17,University of Southern California (Marshall),63096.00 ,"Los Angeles, CA"
19,University of North Carolina--Chapel Hill (Kenan-Flagler),61038.00 ,"Chapel Hill, NC"
19,University of Texas--Austin (McCombs),54394.00 ,"Austin, TX"
21,Emory University (Goizueta),62000.00 ,"Atlanta, GA"
21,Indiana University (Kelley),49955.00 ,"Bloomington, IN"
21,University of Washington (Foster),50046.00 ,"Seattle, WA"
24,Georgetown University (McDonough),58500.00 ,"Washington, DC"
25,University of Florida (Warrington),30130.00 ,"Gainesville, FL"
26,Rice University (Jones),58000.00 ,"Houston, TX"
26,University of Notre Dame (Mendoza),54120.00 ,"Notre Dame, IN"
26,Washington University in St. Louis (Olin),59950.00 ,"St. Louis, MO"
29,Georgia Institute of Technology (Scheller),40180.00 ,"Atlanta, GA"
29,Vanderbilt University (Owen),56150.00 ,"Nashville, TN"
31,Ohio State University (Fisher),52624.00 ,"Columbus, OH"
32,Brigham Young University (Marriott),13450.00 ,"Provo, UT"
33,Arizona State University (W.P. Carey),47198.00 ,"Tempe, AZ"
33,Pennsylvania State University--University Park (Smeal),42468.00 ,"University Park, PA"
35,University of Minnesota--Twin Cities (Carlson),49944.00 ,"Minneapolis, MN"
35,University of Wisconsin--Madison,38777.00 ,"Madison, WI"
37,University of Georgia (Terry),32112.00 ,"Athens, GA"
38,Michigan State University (Broad),50440.00 ,"East Lansing, MI"
38,University of Texas--Dallas,28500.00 ,"Richardson, TX"
40,Texas A&M University--College Station (Mays),76606.00 ,"College Station, TX"
40,University of Maryland--College Park (Smith),53946.00 ,"College Park, MD"
40,University of Rochester (Simon),46000.00 ,"Rochester, NY"
43,Boston College (Carroll),51200.00 ,"Chestnut Hill, MA"
43,Southern Methodist University (Cox),45975.00 ,"Dallas, TX"
43,University of California--Irvine (Merage),52709.00 ,"Irvine, CA"
43,University of Pittsburgh (Katz),63916.00 ,"Pittsburgh, PA"
47,Iowa State University (Ivy),26012.00 ,"Ames, IA"
47,University of California--Davis,49685.00 ,"Davis, CA"
47,University of Illinois--Urbana-Champaign,73168.00 ,"Champaign, IL"
50,Boston University (Questrom),53994.00 ,"Boston, MA"
50,University of Alabama (Manderson),29230.00 ,"Tuscaloosa, AL"
