Career Cluster,Career Pathway,Code,Occupation
"Agriculture, Food & Natural Resources",Plant Systems,19-1013.00,Soil and Plant Scientists
"Agriculture, Food & Natural Resources","Power, Structural & Technical Systems",17-2021.00,Agricultural Engineers
Architecture & Construction,Construction,47-2081.00,Drywall and Ceiling Tile Installers
Architecture & Construction,Design/Pre-Construction,17-1011.00,"Architects, Except Landscape and Naval"
Architecture & Construction,Design/Pre-Construction,17-2051.00,Civil Engineers
"Arts, Audio/Video Technology & Communications",Journalism and Broadcasting,27-4013.00,Radio Operators
"Arts, Audio/Video Technology & Communications",Performing Arts,27-2012.01,Producers
"Arts, Audio/Video Technology & Communications",Printing Technology,51-5112.00,Printing Press Operators
"Arts, Audio/Video Technology & Communications",Telecommunications,49-9052.00,Telecommunications Line Installers and Repairers
"Arts, Audio/Video Technology & Communications",Visual Arts,27-1011.00,Art Directors
"Arts, Audio/Video Technology & Communications",Visual Arts,27-1027.00,Set and Exhibit Designers
Business Management & Administration,Administrative Support,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
Business Management & Administration,Administrative Support,43-6011.00,Executive Secretaries and Executive Administrative Assistants
Business Management & Administration,General Management,11-1021.00,General and Operations Managers
Business Management & Administration,General Management,11-9199.04,Supply Chain Managers
Business Management & Administration,Human Resources Management,11-3121.00,Human Resources Managers
Business Management & Administration,Operations Management,13-1199.00,"Business Operations Specialists, All Other"
Education & Training,Administration and Administrative Support,11-9033.00,"Education Administrators, Postsecondary"
Education & Training,Professional Support Services,25-4012.00,Curators
Education & Training,Professional Support Services,25-4021.00,Librarians
Education & Training,Teaching/Training,25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors
Education & Training,Teaching/Training,25-1194.00,"Vocational Education Teachers, Postsecondary"
Finance,Accounting,13-2011.01,Accountants
Finance,Banking Services,43-4131.00,Loan Interviewers and Clerks
Finance,Business Finance,11-3031.01,Treasurers and Controllers
Finance,Insurance,15-2011.00,Actuaries
Finance,Insurance,13-2053.00,Insurance Underwriters
Finance,Securities & Investments,43-4011.00,Brokerage Clerks
Government & Public Administration,Governance,13-1041.07,Regulatory Affairs Specialists
Government & Public Administration,National Security,55-1017.00,Special Forces Officers
Government & Public Administration,Planning,19-3051.00,Urban and Regional Planners
Government & Public Administration,Public Management and Administration,43-4031.01,Court Clerks
Government & Public Administration,Regulation,29-9012.00,Occupational Health and Safety Technicians
Government & Public Administration,Revenue and Taxation,13-2021.02,"Appraisers, Real Estate"
Health Science,Biotechnology Research and Development,17-2031.00,Biomedical Engineers
Health Science,Diagnostic Services,29-2031.00,Cardiovascular Technologists and Technicians
Health Science,Health Informatics,29-2071.00,Medical Records and Health Information Technicians
Health Science,Therapeutic Services,29-2055.00,Surgical Technologists
Health Science,Therapeutic Services,29-1129.00,"Therapists, All Other"
Hospitality & Tourism,Lodging,11-9081.00,Lodging Managers
Hospitality & Tourism,Lodging,37-2012.00,Maids and Housekeeping Cleaners
Hospitality & Tourism,"Recreation, Amusements & Attractions",39-3091.00,Amusement and Recreation Attendants
Hospitality & Tourism,"Recreation, Amusements & Attractions",39-2011.00,Animal Trainers
Hospitality & Tourism,"Recreation, Amusements & Attractions",27-2023.00,"Umpires, Referees, and Other Sports Officials"
Hospitality & Tourism,"Recreation, Amusements & Attractions",39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
Hospitality & Tourism,Restaurants and Food/Beverage Services,51-3011.00,Bakers
Hospitality & Tourism,Restaurants and Food/Beverage Services,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
Hospitality & Tourism,Restaurants and Food/Beverage Services,35-3031.00,Waiters and Waitresses
Hospitality & Tourism,Travel & Tourism,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
Hospitality & Tourism,Travel & Tourism,39-7011.00,Tour Guides and Escorts
Hospitality & Tourism,Travel & Tourism,41-3041.00,Travel Agents
Human Services,Consumer Services,13-2071.00,Credit Counselors
Human Services,Consumer Services,13-2071.01,Loan Counselors
Human Services,Counseling & Mental Health Services,19-3031.02,Clinical Psychologists
Human Services,Counseling & Mental Health Services,19-3031.00,"Clinical, Counseling, and School Psychologists"
Human Services,Counseling & Mental Health Services,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
Human Services,Early Childhood Development & Services,39-9011.00,Childcare Workers
Human Services,Early Childhood Development & Services,39-9011.01,Nannies
Human Services,Family & Community Services,21-1021.00,"Child, Family, and School Social Workers"
Human Services,Personal Care Services,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
Information Technology,Information Support and Services,15-1199.08,Business Intelligence Analysts
Information Technology,Information Support and Services,15-1199.10,Search Marketing Strategists
Information Technology,Information Support and Services,15-1199.01,Software Quality Assurance Engineers and Testers
Information Technology,Network Systems,15-1141.00,Database Administrators
Information Technology,Programming and Software Development,15-1131.00,Computer Programmers
Information Technology,Web and Digital Communications,15-1134.00,Web Developers
"Law, Public Safety, Corrections & Security",Correction Services,33-3012.00,Correctional Officers and Jailers
"Law, Public Safety, Corrections & Security",Emergency and Fire Management Services,43-5031.00,"Police, Fire, and Ambulance Dispatchers"
"Law, Public Safety, Corrections & Security",Law Enforcement Services,33-3052.00,Transit and Railroad Police
"Law, Public Safety, Corrections & Security",Legal Services,23-1011.00,Lawyers
"Law, Public Safety, Corrections & Security",Legal Services,43-6012.00,Legal Secretaries
"Law, Public Safety, Corrections & Security",Security & Protective Services,33-9032.00,Security Guards
Manufacturing,"Maintenance, Installation & Repair",49-9081.00,Wind Turbine Service Technicians
Manufacturing,Manufacturing Production Process Development,17-3024.01,Robotics Technicians
