Area code,Area text,"Occupation
code",Occupation text,Average hourly wage
0100000,Alabama,110000,Management Occupations,53.18
0100000,Alabama,112021,Marketing Managers,56.98
0100000,Alabama,112022,Sales Managers,55.72
0100000,Alabama,112031,Public Relations and Fundraising Managers,43.28
0100000,Alabama,113011,Administrative Services Managers,46.82
0100000,Alabama,113021,Computer and Information Systems Managers,60.60
0100000,Alabama,119051,Food Service Managers,28.34
0100000,Alabama,119199,"Managers, All Other",50.33
0100000,Alabama,130000,Business and Financial Operations Occupations,33.18
0100000,Alabama,131020,Buyers and Purchasing Agents,29.93
0100000,Alabama,131031,"Claims Adjusters, Examiners, and Investigators",30.02
0100000,Alabama,131041,Compliance Officers,31.62
0100000,Alabama,131051,Cost Estimators,29.04
0100000,Alabama,131071,Human Resources Specialists,28.16
0100000,Alabama,131151,Training and Development Specialists,29.10
0100000,Alabama,131161,Market Research Analysts and Marketing Specialists,29.39
0100000,Alabama,131199,"Business Operations Specialists, All Other",38.33
0100000,Alabama,132011,Accountants and Auditors,33.53
0100000,Alabama,132053,Insurance Underwriters,29.39
0100000,Alabama,132061,Financial Examiners,27.79
0100000,Alabama,132071,Credit Counselors,23.75
0100000,Alabama,150000,Computer and Mathematical Occupations,40.64
0100000,Alabama,151121,Computer Systems Analysts,40.88
0100000,Alabama,151131,Computer Programmers,42.14
0100000,Alabama,151132,"Software Developers, Applications",46.39
0100000,Alabama,151133,"Software Developers, Systems Software",50.96
0100000,Alabama,151134,Web Developers,32.74
0100000,Alabama,151142,Network and Computer Systems Administrators,36.94
0100000,Alabama,151143,Computer Network Architects,50.23
0100000,Alabama,151152,Computer Network Support Specialists,28.54
0100000,Alabama,152031,Operations Research Analysts,36.55
0100000,Alabama,170000,Architecture and Engineering Occupations,40.13
0100000,Alabama,172051,Civil Engineers,40.23
0100000,Alabama,172071,Electrical Engineers,46.95
0100000,Alabama,172112,Industrial Engineers,42.19
0100000,Alabama,172141,Mechanical Engineers,42.77
0100000,Alabama,172199,"Engineers, All Other",46.20
0100000,Alabama,173011,Architectural and Civil Drafters,25.64
0100000,Alabama,173019,"Drafters, All Other",22.35
0100000,Alabama,173022,Civil Engineering Technicians,21.44
